id,title,original_air_date,season,number_in_season,us_viewers_in_millions,imdb_rating,image_url,video_url
104,Bart of Darkness,9/4/94,6,1,15.1,8.6,http://static-media.fxx.com/img/FX_Networks_-_FXX/265/950/Bart_Darnkess.jpg,http://www.simpsonsworld.com/video/300925507538
105,Lisa's Rival,9/11/94,6,2,16.7,8.1,http://static-media.fxx.com/img/FX_Networks_-_FXX/678/635/Lisas_Rival.jpg,http://www.simpsonsworld.com/video/278809667691
106,Another Simpsons Clip Show,9/25/94,6,3,13.5,6,http://static-media.fxx.com/img/FX_Networks_-_FXX/268/379/Simpsons_06_25.jpg,http://www.simpsonsworld.com/video/300928067775
107,Itchy & Scratchy Land,10/2/94,6,4,14.8,8.5,http://static-media.fxx.com/img/FX_Networks_-_FXX/271/1022/Simpsons_06_03__786954.jpg,http://www.simpsonsworld.com/video/283752003577
108,Sideshow Bob Roberts,10/9/94,6,5,14.4,8.3,http://static-media.fxx.com/img/FX_Networks_-_FXX/813/622/Simpsons_06_04.jpg,http://www.simpsonsworld.com/video/275729987504
109,Treehouse of Horror V,10/30/94,6,6,22.2,9,http://static-media.fxx.com/img/FX_Networks_-_FXX/23/835/Simpsons_06_05.jpg,http://www.simpsonsworld.com/video/299597891663
110,Bart's Girlfriend,11/6/94,6,7,15.3,8,http://static-media.fxx.com/img/FX_Networks_-_FXX/827/287/Simpsons_06_06.jpg,http://www.simpsonsworld.com/video/275744323759
111,Lisa on Ice,11/13/94,6,8,17.9,8.4,http://static-media.fxx.com/img/FX_Networks_-_FXX/829/238/Simpsons_06_07.jpg,http://www.simpsonsworld.com/video/275746371575
112,Homer Badman,11/27/94,6,9,17,9,http://static-media.fxx.com/img/FX_Networks_-_FXX/829/739/homner_badman.jpg,http://www.simpsonsworld.com/video/275746883653
113,Grampa vs. Sexual Inadequacy,12/4/94,6,10,14.1,8,http://static-media.fxx.com/img/FX_Networks_-_FXX/440/151/Simpsons_06_09.jpg,http://www.simpsonsworld.com/video/274264643876
114,Fear of Flying,12/18/94,6,11,15.6,7.8,http://static-media.fxx.com/img/FX_Networks_-_FXX/708/514/Simpsons_06_10.jpg,http://www.simpsonsworld.com/video/305684547546
115,Homer the Great,1/8/95,6,12,20.1,8.9,http://static-media.fxx.com/img/FX_Networks_-_FXX/828/763/Simpsons_06_11__977485.jpg,http://www.simpsonsworld.com/video/275745859881
116,And Maggie Makes Three,1/22/95,6,13,17.3,8.5,http://static-media.fxx.com/img/FX_Networks_-_FXX/666/423/Simpsons_06_12.jpg,http://www.simpsonsworld.com/video/278796867754
117,Bart's Comet,2/5/95,6,14,18.7,8.6,http://static-media.fxx.com/img/FX_Networks_-_FXX/829/739/Simpsons_06_13.jpg,http://www.simpsonsworld.com/video/275746883888
118,Homie the Clown,2/12/95,6,15,17.6,8.5,http://static-media.fxx.com/img/FX_Networks_-_FXX/526/207/Simpsons_06_14.jpg,http://www.simpsonsworld.com/video/279723587611
119,Bart vs. Australia,2/19/95,6,16,15.1,8.5,http://static-media.fxx.com/img/FX_Networks_-_FXX/831/691/Simpsons_06_15.jpg,http://www.simpsonsworld.com/video/275748931680
120,Homer vs. Patty and Selma,2/26/95,6,17,18.9,7.9,http://static-media.fxx.com/img/FX_Networks_-_FXX/709/990/Simpsons_06_16.jpg,http://www.simpsonsworld.com/video/305686083529
121,A Star Is Burns,3/5/95,6,18,14.4,8.5,http://static-media.fxx.com/img/FX_Networks_-_FXX/273/474/Simpsons_06_23__719260.jpg,http://www.simpsonsworld.com/video/283753539580
122,Lisa's Wedding,3/19/95,6,19,14.4,8.3,http://static-media.fxx.com/img/FX_Networks_-_FXX/834/118/Simpsons_06_17.jpg,http://www.simpsonsworld.com/video/275751491511
123,Two Dozen and One Greyhounds,4/9/95,6,20,11.6,8.1,http://static-media.fxx.com/img/FX_Networks_-_FXX/676/183/Simpsons_06_19.jpg,http://www.simpsonsworld.com/video/278807107855
124,The PTA Disbands,4/16/95,6,21,11.8,8.1,http://static-media.fxx.com/img/FX_Networks_-_FXX/550/67/Simpsons_06_20.jpg,http://www.simpsonsworld.com/video/294780995610
125,'Round Springfield,4/30/95,6,22,12.6,8.3,http://static-media.fxx.com/img/FX_Networks_-_FXX/838/23/Simpsons_06_24__681923.jpg,http://www.simpsonsworld.com/video/275755587777
126,The Springfield Connection,5/7/95,6,23,12.7,8.2,http://static-media.fxx.com/img/FX_Networks_-_FXX/712/918/Simpsons_06_21.jpg,http://www.simpsonsworld.com/video/305689155572
127,Lemon of Troy,5/14/95,6,24,13.1,8.6,http://static-media.fxx.com/img/FX_Networks_-_FXX/445/31/Simpsons_06_22__554399.jpg,http://www.simpsonsworld.com/video/274269763684
128,Who Shot Mr. Burns? (Part One),5/21/95,6,25,15,9.1,http://static-media.fxx.com/img/FX_Networks_-_FXX/550/567/Simpsons_06_18.jpg,http://www.simpsonsworld.com/video/294781507859
129,Who Shot Mr. Burns? (Part Two),9/17/95,7,1,16,8.9,http://static-media.fxx.com/img/FX_Networks_-_FXX/713/395/Simpsons_07_02.jpg,http://www.simpsonsworld.com/video/305689667892
130,Radioactive Man,9/24/95,7,2,15.7,8.3,http://static-media.fxx.com/img/FX_Networks_-_FXX/716/823/Simpsons_07_01.jpg,http://www.simpsonsworld.com/video/305693251940
131,Home Sweet Homediddly-Dum-Doodily,10/1/95,7,3,14.5,8.3,http://static-media.fxx.com/img/FX_Networks_-_FXX/151/307/Simpsons_07_03.jpg,http://www.simpsonsworld.com/video/306174019869
132,Bart Sells His Soul,10/8/95,7,4,14.8,8.7,http://static-media.fxx.com/img/FX_Networks_-_FXX/974/183/Simpsons_07_04.jpg,http://www.simpsonsworld.com/video/276972099995
133,Lisa the Vegetarian,10/15/95,7,5,14.6,8.5,http://static-media.fxx.com/img/FX_Networks_-_FXX/981/1015/Simpsons_07_05.jpg,http://www.simpsonsworld.com/video/276980291592
134,Treehouse of Horror VI,10/29/95,7,6,19.7,8.5,http://static-media.fxx.com/img/FX_Networks_-_FXX/89/491/Simpsons_07_06.jpg,http://www.simpsonsworld.com/video/310404163601
135,King-Size Homer,11/5/95,7,7,17,9,http://static-media.fxx.com/img/FX_Networks_-_FXX/555/447/Simpsons_07_07.jpg,http://www.simpsonsworld.com/video/294786627843
136,Mother Simpson,11/19/95,7,8,15.3,8.5,http://static-media.fxx.com/img/FX_Networks_-_FXX/985/419/Simpsons_07_08.jpg,http://www.simpsonsworld.com/video/276983875726
137,Sideshow Bob's Last Gleaming,11/26/95,7,9,14.2,8,http://static-media.fxx.com/img/FX_Networks_-_FXX/1022/706/Simpsons_07_10.jpg,http://www.simpsonsworld.com/video/302792771516
138,The Simpsons 138th Episode Spectacular,12/3/95,7,10,16.4,7.5,http://static-media.fxx.com/img/FX_Networks_-_FXX/173/987/Simpsons_07_25_Spectacular.jpg,http://www.simpsonsworld.com/video/324451395934
139,Marge Be Not Proud,12/17/95,7,11,16.7,8.3,http://static-media.fxx.com/img/FX_Networks_-_FXX/694/351/Simpsons_07_09.jpg,http://www.simpsonsworld.com/video/305669699710
140,Team Homer,1/7/96,7,12,16.7,8.3,http://static-media.fxx.com/img/FX_Networks_-_FXX/1022/707/Simpsons_07_12.jpg,http://www.simpsonsworld.com/video/302792771967
141,Two Bad Neighbors,1/14/96,7,13,16.5,8.7,http://static-media.fxx.com/img/FX_Networks_-_FXX/995/179/Simpsons_07_11.jpg,http://www.simpsonsworld.com/video/276994115834
142,Scenes from the Class Struggle in Springfield,2/4/96,7,14,14.4,7.7,http://static-media.fxx.com/img/FX_Networks_-_FXX/717/799/Simpsons_07_13.jpg,http://www.simpsonsworld.com/video/305694276001
